0,2,5,4,64749
0,2,9,1,51039
0,2,9,1,43874
0,2,9,1,3111
0,9,0,1,6026
0,9,0,1,36308
0,9,0,1,6644
0,9,1,3,8468
0,9,3,3,2317
0,9,5,3,32519
0,9,7,3,23289
0,9,8,3,43363
0,9,5,2,4860
0,9,5,2,26391
0,9,1,4,18893
0,0,6,3,23561
0,0,5,4,4860
0,0,6,2,27124
0,0,6,2,35038
0,0,6,2,9508
0,0,6,2,13696
0,0,6,2,29146
0,0,6,3,36820
0,0,8,1,6644
0,0,8,1,6079
0,0,8,1,19997
0,0,8,1,23666
0,0,7,4,35106
0,0,6,2,27124
0,0,6,2,27124
0,0,9,2,3111
0,0,9,2,43874
0,0,9,2,51039
0,0,7,4,23561
0,0,4,2,6644
0,0,4,2,25032
0,0,4,2,13506
0,0,4,3,29146
0,0,3,4,2658
0,0,1,4,14685
0,0,1,1,22210
0,0,1,3,12758
0,0,3,3,33225
0,0,2,4,6857
0,0,2,1,24835
0,0,1,1,50228
0,0,1,1,24464
0,0,3,1,18893
0,0,3,1,52769
0,0,4,3,4860
0,0,4,3,4860
0,0,4,2,50535
0,0,4,2,35315
0,0,6,1,27124
0,0,4,3,4860
0,0,4,3,4860
0,0,4,3,4860
0,0,4,3,4860
0,0,4,3,4860
0,0,7,4,36820
0,0,5,4,29146
0,0,2,4,12758
0,0,0,2,36308
0,0,0,2,6026
0,0,0,3,14685
0,0,1,3,6857
0,0,4,1,6644
0,0,4,3,41139
0,0,6,1,13696
0,0,6,1,9508
1,9,8,2,8207
1,9,8,2,38843
1,9,9,2,10441
1,9,9,2,36392
1,9,9,2,29042
1,9,7,4,14685
1,9,4,4,34714
1,9,1,4,38424
1,9,0,1,14685
1,9,0,1,5765
1,9,0,1,50535
1,9,1,4,30191
0,0,3,3,7259
0,0,2,1,27124
0,0,2,1,14685
0,0,2,3,3769
0,0,3,3,13506
0,0,6,1,35038
0,0,5,3,370
0,0,7,3,51782
0,0,8,3,22712
0,0,8,2,6644
0,0,8,2,1877
0,0,6,1,29146
0,0,7,2,48679
0,0,7,4,16774
0,0,7,2,370
0,0,7,1,30672
0,0,4,1,25032
0,0,1,3,35350
0,0,2,4,17323
0,0,4,3,14685
1,9,8,4,61931
1,9,6,4,8748
1,9,5,2,8207
1,9,5,2,22712
1,9,5,2,9668
1,9,4,4,18893
1,9,5,3,9136
1,9,9,1,6973
1,9,9,1,21754
1,9,0,3,12775
1,9,2,2,4492
1,9,1,4,28360
1,9,1,2,35315
1,9,1,2,370
2,8,1,2,59754
2,8,1,3,8748
2,8,3,3,17323
2,8,5,3,24715
2,8,9,1,8207
1,9,5,4,24235
1,9,3,4,27555
2,8,2,2,37592
2,8,1,4,18893
2,8,2,3,17323
2,8,4,3,17323
2,8,6,3,18893
2,8,8,3,36820
2,8,8,2,9866
2,8,8,2,25371
2,8,8,2,17323
2,8,8,2,55670
3,0,8,2,2953
3,0,9,1,10748
3,0,9,4,7180
2,1,6,4,2488
2,1,3,4,13915
2,1,1,4,4217
2,1,0,1,20008
2,1,0,1,20265
2,1,0,1,27124
2,1,0,1,16334
2,1,9,2,33158
2,1,9,2,36820
2,1,9,2,8748
2,1,9,2,14685
2,1,7,4,48341
2,1,5,4,5093
2,1,2,4,6135
2,1,1,2,8207
2,1,1,4,2317
2,1,2,3,32273
2,1,4,3,18893
2,1,6,3,5953
2,1,5,4,10997
2,1,3,4,1703
2,1,2,1,28362
2,1,3,3,3769
2,1,7,3,52879
2,1,7,1,22712
2,1,4,4,2317
2,1,3,2,13506
2,1,4,1,38082
2,1,3,1,22712
2,1,4,1,10167
2,1,4,3,8207
2,1,7,3,8207
2,1,8,3,11209
2,1,6,2,10748
2,1,8,1,3769
1,9,5,4,48679
1,9,3,4,17144
1,9,3,1,370
1,9,3,2,3769
1,9,4,1,7785
1,9,4,1,2903
1,9,4,4,54007
1,9,5,3,18680
1,9,7,2,42862
1,9,7,2,50535
1,9,7,2,6644
1,9,6,1,8748
1,9,6,1,37051
1,9,6,1,18893
1,9,6,3,20230
1,9,7,4,1386
1,9,6,4,22712
1,9,5,2,4865
2,1,5,4,45255
2,1,5,1,35315
2,1,8,4,2293
2,1,8,3,370
2,1,5,1,29549
2,1,3,2,43874
3,0,3,2,10748
3,0,2,4,370
3,0,0,2,8794
3,0,0,3,19744
3,0,2,3,23591
3,0,1,2,28729
3,0,1,1,14685
2,1,0,3,36392
2,1,2,4,29146
2,1,2,4,36658
2,1,1,2,49003
3,0,4,3,950
3,0,6,3,50535
3,0,6,2,3114
3,0,5,4,46345
3,0,5,1,4860
3,0,4,1,29146
3,0,1,4,22712
3,0,2,3,13506
3,0,4,3,3769
3,0,4,1,13506
3,0,6,3,7007
3,0,7,1,52689
3,0,7,4,14685
2,1,5,1,14685
3,0,6,4,22712
2,1,6,1,47830
2,1,5,1,21973
2,1,4,1,50358
1,9,1,4,17323
1,9,0,2,27124
2,1,1,4,54033
1,9,0,1,3769
2,1,7,2,36392
2,1,8,3,18893
2,1,7,2,23438
2,1,7,2,2377
2,1,8,3,36658
2,1,5,1,6881
1,9,1,1,14685
1,9,1,1,47654
1,9,1,1,17323
1,9,2,3,370
1,9,4,3,47956
1,9,1,4,25907
1,9,8,3,43874
1,9,7,4,4860
0,0,1,4,11129
0,0,0,1,6881
0,0,0,3,8748
3,0,0,1,8207
3,0,1,3,61843
3,0,4,3,45626
3,0,6,3,8748
1,9,9,2,21754
1,9,9,2,6973
1,9,0,3,30191
3,0,0,3,22712
3,0,4,3,46345
3,0,6,3,14685
3,0,7,4,50535
3,0,5,4,950
3,0,1,4,19744
3,0,9,4,7180
3,0,6,1,3114
3,0,3,1,10748
3,0,5,3,22712
1,9,3,3,18893
1,9,6,3,1386
1,9,8,1,38843
1,9,8,1,8207
1,9,6,4,18680
1,9,4,2,2903
1,9,5,3,22712
1,9,3,2,370
1,9,4,3,48679
2,1,8,2,3769
3,0,9,4,0
3,0,9,3,0
3,0,9,3,0
3,0,9,2,8748
3,0,9,4,0
3,0,9,3,0
3,0,9,3,0
3,0,9,3,0
3,0,9,3,0
3,0,9,4,0
3,0,9,3,0
3,0,9,3,0
3,0,9,4,0
3,0,9,4,0
3,0,9,3,0
3,0,9,3,0
3,0,9,3,0
3,0,9,3,0
3,0,9,3,0
3,0,9,3,0
3,0,9,4,0
3,0,9,3,0
3,0,9,4,0
